City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Moreno Valley,-117.2305944,33.937517,281,239,168,58,238,297,36,271,296,74,271,Low,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,HIGH,79.24,20.88,12.25,10,3.13,9.28,3.35,3.89,3.61,10,2.85,0.54,0.53,3.59,0.05,0.34,0.67,0.04,0.05,0.04,0.57,212349,0.104,68767430,19162654,113690024,214352086,0.16,59325178,109264995,44277280,54759941,59325178,103125363,110187612,113784361,72896273,0,155491199,233082622,7972616,11029628,8175011
Morgan Hill,-121.6544974,37.130408,231,210,191,58,269,230,160,189,182,74,212,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,73.6,18.57,12.83,10,3.25,7.92,3.6,3.33,2.5,10,1.6,0.48,0.46,10.17,0.06,0.51,0.72,0.06,0.09,0.04,0.32,45501,0.072,18661815,1835147,44679057,97185471,0.17,19980233,41214707,14715819,18751008,19980233,37643866,43931138,41291537,50048287,0,136821913,189371794,6123063,8942362,3420545
Morro Bay,-120.849901,35.3658075,102,51,309,58,49,158,116,316,130,74,1,Moderate,MODERATE,LOW,LOW,HIGH,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,60.3,6.86,15,10,2.38,6.4,3.55,4.17,1.94,10,0,0.2,0.12,2.56,-0.01,0.7,0.71,0.03,0.11,0.15,0,10560,0.138,3646396,1424656,4386565,36184501,-0.06,3352470,16828805,4025148,4780102,3352470,13198834,13529873,12797147,25467002,0,66733973,93806465,986438,3936742,5273881
Mountain View,-122.0832101,37.3893889,364,309,205,58,302,225,226,189,182,74,319,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,88.61,30,13.16,10,3.38,7.84,3.7,3.33,2.5,10,4.7,0.86,0.42,9.18,0.07,0.52,0.74,0.06,0.09,0.02,0.94,80030,0.04,161833000,17630000,175760000,420769000,0.08,147825000,171659000,126598000,142239000,147825000,155401000,172709000,177301000,217485000,0,636402669,864114355,25865000,39392685,8791000
Mt. Shasta,-122.1948645,41.4091977,209,107,144,58,302,273,257,271,236,74,325,Low,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,71.27,11.73,11.58,10,3.38,8.88,3.75,3.89,3.06,10,5,0.33,0.61,3.78,0.07,0.39,0.75,0.04,0.07,NA,NA,3233,0.041,926815,245368,6135175,10008154,0.01,1262803,3805372,1253502,1126592,1262803,3304704,3568509,3793162,3930972,0,12512791,16793575,358006,726862,NA
Murrieta,-117.210656,33.560832,365,309,295,58,413,255,294,123,236,74,183,Low,LOW,LOW,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,88.97,30,14.74,10,5,8.64,3.85,2.78,3.06,10,0.9,1.07,0.23,8.04,0.25,0.42,0.77,0.08,0.07,0.2,0.18,116522,0.088,51041715,6344551,25725250,112375294,0.47,56988890,53467907,26488358,39137347,56988890,45796411,57808136,71409022,47713384,0,130764627,170033842,8607730,7821829,22544545
Napa,-122.3218414,38.4898675,126,83,251,58,73,121,12,149,107,74,290,Moderate,MODERATE,LOW,LOW,HIGH,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,62.62,9.54,13.99,10,2.5,5.36,3.25,3.06,1.67,10,3.25,0.26,0.32,3.47,0,0.83,0.65,0.07,0.12,0.02,0.65,77032,0.093,26782015,7724908,69842127,218646636,0.07,27004169,104116615,24882191,31783702,27004169,91591307,101435231,90734192,181521446,0,351454444,544576710,15931543,26886525,3792142
National City,-117.0991967,32.6781085,167,225,271,58,269,73,70,40,41,74,1,Moderate,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,66.71,19.58,14.41,10,3.25,3.52,3.45,1.94,0.56,10,0,0.57,0.27,5.79,0.06,1.06,0.69,0.11,0.16,0.06,0,60932,0.126,39754163,6862203,27866089,101739361,-0.06,34909007,60720917,39589001,41689180,34909007,54814126,59381004,61848951,107372845,0,248237013,362022078,11235433,16523465,5684713
Nevada City,-121.0187304,39.2625993,202,109,177,58,376,218,194,189,161,74,325,Moderate,MODERATE,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,70.22,11.84,12.5,10,4,7.68,3.65,3.33,2.22,10,5,0.3,0.5,4.08,0.12,0.54,0.73,0.06,0.1,NA,NA,3127,0.061,1504936,368959,4803958,9656924,0.59,1472068,4857089,591147,1043832,1472068,4047100,4726713,5062248,5180959,0,15556728,21235965,623188,918283,NA
Newark,-122.0402,37.5297,193,309,60,58,153,24,12,40,1,74,227,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,69.38,30,8.5,10,2.88,0.96,3.25,1.94,0,10,1.85,1.15,0.98,10.08,0.03,1.38,0.65,0.11,0.19,0.05,0.37,49699,0.082,61470834,6100929,76572463,78419391,0.2,62916712,54826595,43606972,52084143,62916712,62207123,67243195,65426814,108211974,0,213937933,329769498,8919166,14888876,3893978
