City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Santee,-116.9739167,32.8383828,198,135,305,58,302,151,116,316,130,74,227,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,69.82,13.78,14.91,10,3.38,6.24,3.55,4.17,1.94,10,1.85,0.36,0.21,2.76,0.07,0.72,0.71,0.03,0.11,0.03,0.37,57770,0.081,19817378,7182159,12579367,60786079,0.14,16943367,46797684,13044761,14890673,16943367,42775163,46813880,48689237,43574729,0,118317815,165658633,1875784,6907426,1620327
Saratoga,-122.023,37.2638,327,241,255,58,81,337,362,354,263,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,LOW,84.66,20.93,14.08,10,2.63,10,4.25,4.44,3.33,10,5,0.57,0.31,4.67,0.01,0.25,0.85,0.02,0.06,NA,NA,30525,0.049,17856838,3825757,9359870,30220585,0.06,14321425,24941239,12920735,14516402,14321425,22970108,24115948,23508914,7614972,0,46935260,55139132,660749,1708157,NA
Sausalito,-122.485469,37.8590272,53,145,36,58,238,50,116,27,41,74,194,Moderate,MODERATE,HIGH,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,53.25,14.56,5.91,10,3.13,2.72,3.55,1.67,0.56,10,1.15,0.41,1.29,4.58,0.05,1.16,0.71,0.12,0.16,0.17,0.23,7094,0.052,9230661,2014498,32998443,25582324,0,8328566,20086938,8339692,9107187,8328566,14726584,16704446,16210288,29781107,0,77780837,109707030,2970419,4150495,4445117
Scotts Valley,-122.014684,37.0510595,35,97,156,58,196,56,116,91,57,9,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,50.73,10.77,12,10,3,2.96,3.55,2.5,0.83,5.12,0,0.3,0.56,4.59,0.04,1.13,0.71,0.09,0.15,0.86,0,11995,0.062,2705212,589933,10238319,18127450,0.02,3938058,12989329,3962916,4897391,3938058,10862485,12711308,11519581,18424996,1980000,48895871,68799551,1682514,2765695,15524839
Seal Beach,-118.1055926,33.7423967,285,277,309,58,401,128,116,123,94,74,251,Low,LOW,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,79.41,24.23,15,10,4.38,5.68,3.55,2.78,1.39,10,2.4,0.69,0.19,10.11,0.15,0.79,0.71,0.08,0.13,0.12,0.48,23887,0.082,24508172,2425284,9457667,49987144,-0.01,24947146,36239613,25780773,22074874,24947146,30710063,35500962,40324170,39563926,0,103243066,146077257,4157571,6314562,5998255
Seaside,-121.816926,36.62593,161,202,200,58,347,98,116,91,80,74,1,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,66.34,17.99,13.08,10,3.63,4.48,3.55,2.5,1.11,10,0,0.49,0.43,6.76,0.09,0.94,0.71,0.09,0.14,0.24,0,34115,0.098,11213992,1659617,23097958,53102133,0.06,17389444,35730206,15403680,15757672,17389444,31210943,33227726,37065139,46833961,3310000,127750264,178721816,5004784,7588585,12515828
Sebastopol,-122.824222,38.4021038,310,309,289,58,376,144,116,91,130,74,1,Low,LOW,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,82.73,30,14.66,10,4,6.08,3.55,2.5,1.94,10,0,0.89,0.24,15.57,0.12,0.74,0.71,0.09,0.11,0.15,0,7593,0.127,9626899,618384,4302747,17699933,0.1,8879948,9947745,7402742,8572969,8879948,9141223,10009102,11484272,13028541,0,33790824,47655589,1530553,1955035,2682363
Selma,-119.6121,36.5708,211,194,259,58,302,225,116,189,182,74,1,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,72.13,17.37,14.16,10,3.38,7.84,3.55,3.33,2.5,10,0,0.44,0.3,3.91,0.07,0.52,0.71,0.06,0.09,0.21,0,24370,0.091,5700563,1458392,9168236,30719065,0.56,6717902,15103615,2763856,4566273,6717902,11786253,12806365,13433326,16045850,0,42327332,59225267,1921130,2686895,6501690
Sierra Madre,-118.052845,34.1616729,312,225,271,58,329,291,372,271,263,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,LOW,83.23,19.58,14.41,10,3.5,9.12,4.4,3.89,3.33,10,5,0.57,0.27,10.28,0.08,0.36,0.88,0.04,0.06,0,1,10621,0.146,7251264,705375,6962766,25496906,-0.06,7557690,13356081,8736391,6915213,7557690,12053691,12311369,13996105,9173681,0,49247314,56046251,1107313,1492125,NA
Signal Hill,-118.168259,33.804826,273,309,214,58,269,102,194,61,80,46,189,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,78.4,30,13.33,10,3.25,4.64,3.65,2.22,1.11,9.2,1,1.33,0.4,8.91,0.06,0.92,0.73,0.1,0.14,0.35,0.2,11280,0.11,27267260,3060208,12906608,32070503,0.09,30359945,22872119,25712812,25915799,30359945,21842728,23216128,24667014,29415004,0,84218542,116040537,3056770,4583858,11157631
Simi Valley,-118.7538071,34.2677404,217,279,163,58,302,111,94,123,94,64,160,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,72.62,24.47,12.16,10,3.38,4.96,3.5,2.78,1.39,9.68,0.3,0.62,0.54,7.97,0.07,0.88,0.7,0.08,0.13,0.29,0.06,125168,0.083,35775580,4487519,92127362,171057516,0.26,44291490,71499750,27985482,36080810,44291490,65302859,71254132,73835043,151225589,0,361199126,517955365,14456209,22340428,48804070
Solana Beach,-117.269131,32.9905597,258,242,127,58,376,261,160,271,236,74,196,Low,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,76.57,21.19,10.91,10,4,8.72,3.6,3.89,3.06,10,1.2,0.61,0.69,2.73,0.12,0.41,0.72,0.04,0.07,0.07,0.24,13190,0.051,20792719,7617449,25474143,37162594,-0.04,12979357,21117261,14206980,12065969,12979357,18431516,20570945,22738060,15280773,0,42586139,59244455,1624905,2545938,2683840
Soledad,-121.3246643,36.4281798,306,293,36,58,269,337,333,316,327,74,325,Low,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,82.22,26.05,5.91,10,3.25,10,3.95,4.17,3.89,10,5,0.66,1.29,5.24,0.06,0.19,0.79,0.03,0.04,NA,NA,25247,0.139,5656097,1078846,34119948,26515692,0.56,5538005,8408342,2358673,4308846,5538005,8292367,9268556,9296733,5131321,0,21547507,27161968,677382,1129794,NA
Solvang,-120.1381144,34.5960774,372,309,309,58,19,330,257,354,296,74,201,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,HIGH,90.02,30,15,10,2,9.92,3.75,4.44,3.61,10,1.3,1.08,0.03,20.59,-0.04,0.26,0.75,0.02,0.05,0.12,0.26,5556,0.066,9864000,478967,422060,16767732,-0.04,9991642,9217483,10767808,10744581,9991642,8589729,9059613,7928092,4310393,0,14347011,19043782,369421,762756,2024744
Sonora,-110.6666671,29.3333331,105,194,309,58,196,34,94,1,1,74,1,Moderate,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,60.47,17.37,15,10,3,1.6,3.5,0,0,10,0,0.44,0.07,4.82,0.04,1.3,0.7,0.27,0.18,0.05,0,4833,0.111,2466894,512212,636122,8568472,0.28,2288001,5149065,1409273,1698899,2288001,5010304,5205989,5387796,11133931,0,27706833,39422344,2278785,1566121,467915
South El Monte,-118.0467339,34.0519548,234,165,309,58,347,261,116,271,263,74,1,Low,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,73.91,15.79,15,10,3.63,8.72,3.55,3.89,3.33,10,0,0.4,0.11,2.23,0.09,0.41,0.71,0.04,0.06,0.08,0,21126,0.123,5126845,2295095,2283632,19997486,0.38,6385767,16096516,4331914,3150408,6385767,14078675,15432613,16534570,8238409,0,22136197,30992997,776018,1256303,1616518
South Lake Tahoe,-119.9843482,38.9332411,136,194,186,58,81,21,51,27,33,74,325,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,LOW,63.89,17.37,12.74,10,2.63,0.8,3.4,1.67,0.28,10,5,0.5,0.47,6.97,0.01,1.4,0.68,0.12,0.17,NA,NA,22847,0.109,20471033,2938246,30238043,64682804,-0.04,21442655,42827163,24059023,18100238,21442655,43295026,47597052,43554124,81506447,9120000,171465153,252970878,7536093,10931553,NA
South San Francisco,-122.4168664,37.6535403,170,229,135,58,238,107,36,91,80,58,205,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,66.83,19.74,11.33,10,3.13,4.72,3.35,2.5,1.11,9.6,1.35,0.5,0.64,8.18,0.05,0.91,0.67,0.09,0.14,0.3,0.27,66558,0.089,61779150,7556716,134751367,211698871,0.32,66740888,132314791,40704451,65740863,66740888,118872329,132956238,130906329,193081799,0,408693507,613993402,19233381,30631252,64356000
St. Helena,-122.4705,38.5052,291,246,186,58,49,255,194,230,236,74,325,Low,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,80.68,21.6,12.74,10,2.38,8.64,3.65,3.61,3.06,10,5,0.57,0.47,6.96,-0.01,0.42,0.73,0.05,0.07,NA,NA,5960,0.066,8648592,1243440,13439868,28721093,0.12,8196636,14485306,6603547,8285343,8196636,14745065,16356755,14418175,12114563,0,34692633,47411501,1478862,2024900,NA
Stanton,-101.7935648,37.5691072,413,309,309,58,302,337,357,354,355,74,313,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,95.59,30,15,10,3.38,10,4.2,4.44,4.17,10,4.4,0.76,0.04,18.01,0.07,0.16,0.84,0.02,0.03,0,0.88,37904,0.107,19255205,1068988,1400479,37742958,0.08,20476015,26975330,17918312,16770912,20476015,21914761,23951047,24900319,6049598,0,33736961,40393341,601444,1078281,125301
Stockton,-121.290779,37.9577016,122,152,72,58,269,68,160,91,80,74,325,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,LOW,LOW,62.42,14.77,8.83,10,3.25,3.36,3.6,2.5,1.11,10,5,0.39,0.94,5.83,0.06,1.08,0.72,0.09,0.14,NA,NA,312716,0.128,104846679,17995990,514642687,547984345,0.12,104816466,269255855,84448171,96376244,104816466,242066318,257936609,268227026,536028393,53378240,1400445938,1951551807,47697063,77774731,NA
Suisun City,-122.040244,38.2382474,156,165,232,58,81,151,194,61,130,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,66.13,15.79,13.66,10,2.63,6.24,3.65,2.22,1.94,10,0,0.4,0.36,5.82,0.01,0.72,0.73,0.1,0.11,0.15,0,29305,0.097,6168599,1060721,9798943,26894568,0.39,6807866,17125465,3940251,7152796,6807866,13890730,14713135,14131966,19401778,0,56059040,76873890,2562501,2905943,4080495
Sunnyvale,-122.036349,37.3688301,255,255,236,58,196,149,70,123,107,74,281,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,76.28,22.48,13.74,10,3,6.16,3.45,2.78,1.67,10,3,0.64,0.35,11.1,0.04,0.73,0.69,0.08,0.12,0.13,0.6,151746,0.051,124222949,11190722,184348593,519311736,-0.02,119321859,187768713,124218192,117926123,119321859,169936638,191139036,184359852,379265100,0,887795814,1284875902,40024350,61000995,69598506
Susanville,-120.653006,40.4162842,18,19,24,29,12,182,194,189,161,74,325,Moderate,HIGH,HIGH,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,44.64,3.16,3.17,5.4,1.75,6.96,3.65,3.33,2.22,10,5,0.1,1.62,1.08,-0.06,0.63,0.73,0.06,0.1,NA,NA,14425,0.055,2664747,2473048,32115265,19810367,-0.34,905051,8877620,3429415,3686145,905051,6886933,6336567,6087818,12472688,0,37456684,51123479,1233427,1974775,NA
Sutter Creek,-120.802435,38.3929675,179,185,302,58,73,133,160,123,130,74,1,Moderate,LOW,LOW,LOW,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,68.15,16.74,14.83,10,2.5,5.76,3.6,2.78,1.94,10,0,0.53,0.22,2.46,0,0.78,0.72,0.08,0.11,0.01,0,2688,0.045,784179,318869,1026064,4687916,-0.21,1032730,1957287,1878848,963693,1032730,1917989,2134462,1906597,3650244,0,9916678,13803425,392021,527368,44462
Tehachapi,-118.4489739,35.1321878,412,309,309,58,370,337,275,271,296,74,325,Low,LOW,LOW,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,95.18,30,15,10,3.88,10,3.8,3.89,3.61,10,5,1,0.19,10.56,0.11,0.23,0.76,0.04,0.05,NA,NA,12746,0.095,7090825,671796,4007170,20949927,0.23,8104113,8105816,5452742,7125554,8104113,7227583,8595058,8743099,4867912,0,17219599,22614587,799226,1131661,NA
Tehama,-122.2015529,40.1251334,416,309,309,43,364,337,402,408,408,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,96.35,30,15,7.6,3.75,10,5,5,5,10,5,22.62,0,1.52,0.1,NA,NA,NA,NA,NA,NA,361,0.078,1596783,1052360,0,433050,0.08,1629396,72038,1413276,1521559,1629396,152978,197193,179875,NA,NA,NA,NA,NA,NA,NA
Temecula,-117.147366,33.4946353,305,232,309,58,81,315,70,316,296,74,284,Low,LOW,LOW,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,HIGH,81.85,20.29,15,10,2.63,9.6,3.45,4.17,3.61,10,3.1,0.53,0.19,5.71,0.01,0.3,0.69,0.03,0.05,0.06,0.62,113878,0.088,57549901,10073827,24332653,130524228,0.14,47974754,90566062,37404384,40473578,47974754,96513745,101580750,97554104,39530271,0,93474663,136115443,3472097,6486499,7332050
Temple City,-118.0577568,34.1082994,351,309,309,58,153,268,160,271,236,42,175,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,86.78,30,15,10,2.88,8.8,3.6,3.89,3.06,8.8,0.75,1.29,0.01,8.63,0.03,0.4,0.72,0.04,0.07,0.4,0.15,35225,0.128,20960321,2429871,299057,21518787,0.03,20011892,15460974,18802141,19974994,20011892,14841986,15828776,15494440,8590199,0,23978972,33243294,886665,1409665,8637444
Thousand Oaks,-118.8375937,34.1705609,394,309,309,58,329,291,294,271,263,74,302,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,92.44,30,15,10,3.5,9.12,3.85,3.89,3.33,10,3.75,1.35,0.13,13.25,0.08,0.36,0.77,0.04,0.06,0.03,0.75,126310,0.077,134286773,10131715,25671246,198935384,0.03,119460679,88396314,113808187,106672779,119460679,83766893,89292324,97692262,72097912,0,251541673,324800085,7134471,12678229,6267956
Tiburon,-122.460808,37.8775332,342,309,309,58,73,164,275,149,107,74,289,Low,LOW,LOW,LOW,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,85.79,30,15,10,2.5,6.56,3.8,3.06,1.67,10,3.2,1.26,0.02,8.76,0,0.68,0.76,0.07,0.12,0.1,0.64,9086,NA,15912229,1817464,318098,12966994,-0.05,14770850,11679036,16454800,14748876,14770850,11481723,11449762,11398509,8762867,0,30731983,40458384,920861,1556544,1335378
Torrance,-118.3413606,33.8371392,4,10,191,7,73,17,94,9,1,74,224,High,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,32.63,0.94,12.83,0.15,2.5,0.08,3.5,0.83,0,10,1.8,0.03,0.46,0.03,0,1.49,0.7,0.15,0.22,0.14,0.36,141553,0.103,623255,18319111,149313378,327990491,-0.49,6079134,207854194,31310428,24336953,6079134,176353801,187123604,176624912,487648758,0,1193553149,1704196375,49649554,72503695,44544000
Tracy,-121.420139,37.7385507,134,49,283,58,269,282,226,230,208,74,1,Moderate,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,63.59,6.63,14.58,10,3.25,9.04,3.7,3.61,2.78,10,0,0.21,0.25,2.04,0.06,0.37,0.74,0.05,0.08,0.03,0,95025,0.097,5668536,2778349,57571432,232531097,-0.25,20591232,97072495,36800048,30095564,20591232,74804975,80057709,83148010,86895755,0,289048912,389138188,12003926,18569862,6666572
Trinidad,-124.1434,41.0595,420,309,309,58,34,337,402,408,408,74,325,Low,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,97.25,30,15,10,2.25,10,5,5,5,10,5,2.95,0,26.66,-0.02,NA,NA,NA,NA,NA,NA,358,0.062,1845432,69223,0,1512420,0.13,1876506,635805,1479348,1665602,1876506,775352,802750,740301,NA,NA,NA,NA,NA,NA,NA
Truckee,-120.1832533,39.327962,376,309,262,58,302,330,294,271,263,74,235,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,90.61,30,14.24,10,3.38,9.92,3.85,3.89,3.33,10,2,1.13,0.29,23.33,0.07,0.26,0.77,0.04,0.06,0.03,0.4,16982,0.032,34695039,1487433,15070622,52873041,0.03,35444155,31337030,33810037,36514412,35444155,25056663,27528785,28550350,13889532,0,52192410,67613126,2200337,3052908,1347799
Tulare,-118.852583,36.2516475,96,162,16,58,269,243,160,230,208,74,1,Moderate,MODERATE,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,58.83,15.77,1.58,10,3.25,8.24,3.6,3.61,2.78,10,0,0.47,1.81,3.83,0.06,0.47,0.72,0.05,0.08,0.02,0,66797,0.105,26350799,6874866,247414557,137024312,-0.1,36993740,78375193,47558487,53360296,36993740,46672134,53109080,51730460,64705824,0,182682064,252559831,7059969,10769401,3204027
Tulelake,-121.477492,41.955989,79,11,309,15,1,337,402,354,327,74,325,Moderate,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,57.46,1.18,15,2.95,0,10,5,4.44,3.89,10,5,0.03,0.02,0.59,-0.27,-0.42,1.32,0.02,0.04,NA,NA,955,NA,56253,95456,27833,1531314,3.02,17663,553907,-70806,-4305,17663,1132671,1054404,569949,-638698,0,2617097,1983750,30873,62985,NA
Turlock,-120.8465941,37.4946568,91,97,93,58,196,170,116,149,130,74,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,58.54,10.77,9.5,10,3,6.72,3.55,3.06,1.94,10,0,0.3,0.86,3.13,0.04,0.66,0.71,0.07,0.11,0.1,0,73059,0.09,10074659,3222268,108009009,125928574,0.03,11974740,39927035,11482271,10711145,11974740,36092340,38684941,38540961,83572134,0,220267989,312192818,9396899,13593938,12514729
Tustin,-117.826166,33.7458511,216,268,176,58,4,175,294,149,130,74,177,Low,LOW,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,72.44,23.37,12.41,10,0.13,6.88,3.85,3.06,1.94,10,0.8,0.74,0.51,5.68,-0.19,0.64,0.77,0.07,0.11,0.11,0.16,79815,0.083,102911181,18118992,52788117,102864234,-0.2,74972202,101498868,116332458,88768803,74972202,103603764,67924240,66089900,65581840,0,223845071,291931662,7319815,11219616,11454599
Twentynine Palms,-116.0543506,34.1356915,361,251,309,58,109,337,392,354,382,74,322,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,88.33,21.95,15,10,2.75,10,4.9,4.44,4.44,10,4.85,0.67,0.11,20.15,0.02,0.03,0.98,0.02,0.02,0.01,0.97,27433,0.092,6769004,335960,1575008,14955064,-0.14,6896053,10333189,9190062,7828376,6896053,9637513,10284113,10005792,506204,0,16831282,17118069,317991,342387,76616
Ukiah,-123.2077861,39.1501662,49,28,79,22,269,191,24,189,182,74,325,Moderate,HIGH,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,LOW,LOW,52.72,4.74,9,4.4,3.25,7.2,3.3,3.33,2.5,10,5,0.12,0.92,0.88,0.06,0.6,0.66,0.06,0.09,NA,NA,15883,0.117,1956662,2227384,81858069,89170655,1.42,2629395,22425173,-1623326,3321783,2629395,19767086,21335501,22232074,53353609,0,110978094,167838557,5767410,7814653,NA
Upland,-117.6489,34.0975,222,259,241,58,238,102,36,123,130,74,167,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,73.01,22.89,13.83,10,3.13,4.64,3.35,2.78,1.94,10,0.45,0.58,0.34,6.3,0.05,0.92,0.67,0.08,0.11,0.1,0.09,77850,0.087,23031118,3656025,42239639,123533214,0.34,24154963,41732599,14149500,23174699,24154963,38692665,43832472,42707121,114127269,0,240962101,361358051,9944975,14096433,11930865
Vacaville,-121.9877444,38.3565773,197,253,141,58,347,94,11,61,107,53,216,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,HIGH,HIGH,LOW,HIGH,69.81,22.1,11.5,10,3.63,4.4,3.2,2.22,1.67,9.44,1.65,0.56,0.62,5,0.09,0.95,0.64,0.1,0.12,0.32,0.33,101332,0.082,60419335,12081607,152728414,247800308,0.25,60196215,108410940,39034724,52051390,60196215,93550412,108183024,109704434,236603156,0,438337581,685006736,24069755,30277608,78191276
Vallejo,-122.2566367,38.1040864,30,40,182,58,109,25,3,13,1,74,266,Moderate,HIGH,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,49.06,5.57,12.66,10,2.75,1.12,3.1,1.11,0,10,2.75,0.17,0.48,3.63,0.02,1.36,0.62,0.14,0.18,0.08,0.55,120747,0.113,21381893,5888064,104896223,219978704,-0.13,18970693,113287680,25450613,25391257,18970693,105773543,110163546,108942292,299988742,0,504935705,818236922,29851708,40084926,18081000
Ventura,-119.0779359,34.4458248,112,125,119,58,109,77,36,61,57,74,325,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,LOW,61.67,13.02,10.66,10,2.75,3.84,3.35,2.22,0.83,10,5,0.34,0.72,2.87,0.02,1.02,0.67,0.1,0.15,NA,NA,107110,0.086,46605059,16219729,160980794,224886750,0.15,40926559,119265377,30919507,35841051,40926559,114429913,117430763,118750623,228699967,0,494112185,732763978,21480027,32846294,NA
Vernon,-118.2301,34.0039,34,19,38,45,388,244,116,230,208,74,177,Moderate,HIGH,HIGH,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,50.68,3.16,6.33,8,4.13,8.32,3.55,3.61,2.78,10,0.8,0.08,1.24,1.6,0.13,0.46,0.71,0.05,0.08,0.08,0.16,285,0,12789826,8008270,329322829,265191070,1.44,4478135,54869749,-7345582,-3346202,4478135,46043000,57155892,57625214,120808743,0,336945963,472247566,12334768,20206955,21918652
Victorville,-117.2911565,34.5361067,92,100,23,58,302,325,194,316,296,74,1,Moderate,MODERATE,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,58.62,11.05,3,10,3.38,9.76,3.65,4.17,3.61,10,0,0.28,1.64,2.73,0.07,0.28,0.73,0.03,0.05,0.16,0,124982,0.124,11959396,4378008,374432892,228195275,0.74,18109738,63585839,6178917,12812405,18109738,59877595,66183552,67831043,63720138,0,186975989,255646271,7215379,10751948,35844837
Villa Park,-117.8132,33.8173,373,309,309,58,302,337,226,354,327,74,1,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,90.41,30,15,10,3.38,10,3.7,4.44,3.89,10,0,1.01,0.01,9.62,0.07,0.24,0.74,0.02,0.04,0.03,0,5801,0.049,3950987,410714,56382,5031773,-0.03,3577438,3532224,4000530,2975841,3577438,3518130,3722258,4028653,1193818,0,3687404,4989326,79346,197092,139516
Visalia,-119.292058,36.3302284,287,266,163,58,153,202,160,149,161,74,325,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,79.63,23.35,12.16,10,2.88,7.36,3.6,3.06,2.22,10,5,0.68,0.54,12.4,0.03,0.58,0.72,0.07,0.1,NA,NA,135007,0.099,28353633,2286763,126769007,234171131,-0.05,52013882,76741112,57115356,50311777,52013882,73018176,77069482,77337618,135210187,0,369456636,509752603,16001192,22578181,NA
Vista,-117.2424787,33.2021284,347,309,87,58,269,250,226,230,236,74,325,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,86.27,30,9.25,10,3.25,8.4,3.7,3.61,3.06,10,5,1.06,0.89,11.66,0.06,0.45,0.74,0.05,0.07,NA,NA,100636,0.098,95828538,8215674,135662323,152809751,0.18,84820715,80021013,61525389,74040087,84820715,81453030,86993198,91218676,68554356,0,203233240,275446820,8280609,10958813,NA
Walnut,-117.8653386,34.0202894,363,309,309,58,302,291,275,271,263,74,1,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,88.52,30,15,10,3.38,9.12,3.8,3.89,3.33,10,0,2.29,0.03,19.2,0.07,0.36,0.76,0.04,0.06,0.06,0,29324,0.102,31939487,1663168,558423,20390727,0.04,31141800,13623556,28553614,30694449,31141800,12778121,15931368,14029399,7274916,0,24539626,32444424,780912,1276200,1175141
Walnut Creek,-122.0618702,37.9020731,170,147,309,58,19,77,94,61,41,74,325,Moderate,MODERATE,LOW,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,66.83,14.71,15,10,2,3.84,3.5,2.22,0.56,10,5,0.46,0.11,6.08,-0.04,1.02,0.7,0.1,0.16,NA,NA,69936,0.066,67045233,11020820,12600093,117530200,-0.17,41221474,89756576,59485896,49964159,41221474,91441170,95282485,84129691,119522899,0,304724126,433390021,12262484,18357120,NA
